practice;JSC;leaf_skills;horizon
ABAP	;	ABAP ADVANCED	;	AIF	;	H2
ABAP	;	ABAP ADVANCED	;	Workflow	;	H2
ABAP	;	ABAP ADVANCED	;	BOPF	;	H2
ABAP	;	ABAP ADVANCED	;	Odata	;	H2
ABAP	;	ABAP ADVANCED	;	BRF	;	H2
ABAP	;	ABAP BTP	;	Cloud Optimized ABAP	;	H3
ABAP	;	ABAP BTP	;	GIT	;	H3
ABAP	;	ABAP BTP	;	BTP HTTP Service	;	H3
ABAP	;	ABAP BTP	;	RAP	;	H3
ABAP	;	ABAP BTP	;	CDS	;	H3
ABAP	;	ABAP BTP	;	ADT for ECLIPSE	;	H3
ABAP	;	ABAP BTP	;	Cloud Cockpit	;	H3
ABAP	;	ABAP CORE	;	Print Adobe Forms	;	H1
ABAP	;	ABAP CORE	;	Dialog Programming	;	H1
ABAP	;	ABAP CORE	;	Conversions	;	H1
ABAP	;	ABAP CORE	;	Smartforms	;	H1
ABAP	;	ABAP CORE	;	Reports	;	H1
ABAP	;	ABAP CORE	;	Forms - Scripts	;	H1
ABAP	;	ABAP CORE	;	OO ABAP	;	H1
ABAP	;	ABAP CORE	;	Enhancements	;	H1
ABAP	;	ABAP HANA	;	Code-Push-Down	;	H2
ABAP	;	ABAP HANA	;	RAP	;	H2
ABAP	;	ABAP HANA	;	AMDP	;	H2
ABAP	;	ABAP HANA	;	CDS	;	H2
ABAP	;	ABAP HANA	;	InApp Extensibility	;	H2
ABAP	;	ABAP HANA	;	ATC Code Remediation	;	H2
ABAP	;	ABAP HANA	;	AIF	;	H2
ABAP	;	ABAP HANA	;	Data Migration Cockpit	;	H2
ABAP	;	ABAP HANA	;	Flexible Workflow	;	H2
ABAP	;	ABAP HR	;	HR ABAP	;	H1
ABAP	;	ABAP HR	;	CORE ABAP	;	H1
ABAP	;	ABAP INTEGRATION	;	File Interfaces	;	H1
ABAP	;	ABAP INTEGRATION	;	ABAP Proxy	;	H1
ABAP	;	ABAP INTEGRATION	;	ALE/ IDOC	;	H1
ABAP	;	ABAP WEBDYNPRO	;	WebDynpro ABAP	;	H1
ABAP	;	ABAP WEBDYNPRO	;	Floor Plan Manager	;	H1
BASIS	;	BASIS Advanced Operations	;	Sybase Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery	;	H1
BASIS	;	BASIS Advanced Operations	;	SAP BW	;	H1
BASIS	;	BASIS Advanced Operations	;	OS Administration for Widnows and Unix based flavours with automation flavor using scripting approach	;	H1
BASIS	;	BASIS Advanced Operations	;	DB2 Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery	;	H1
BASIS	;	BASIS Advanced Operations	;	HANA (SoH	;	H1
BASIS	;	BASIS Advanced Operations	;	Oracle Performance Tuning	;	H1
BASIS	;	BASIS Advanced Operations	;	Oracle DB Install/DB Patching	;	H1
BASIS	;	BASIS Advanced Operations	;	Backup/Recovery using RMAN/Export/Import and 3rd party tools	;	H1
