PRACTICE;JSC;SKILLS;horizon
ABAP	;	ABAP ADVANCED	;	OData,Workflow,BRF,BOPF,AIF	;	H2
ABAP	;	ABAP BTP	;	Cloud Cockpit,Cloud Optimized ABAP,BTP HTTP Service,RAP,CDS,ADT for ECLIPSE,GIT	;	H3
ABAP	;	ABAP CORE	;	Reports,Conversions,Enhancements,Forms - Scripts,Smartforms,Print Adobe Forms,Dialog Programming,OO ABAP,	;	H1
ABAP	;	ABAP HANA	;	ATC Code Remediation,Code-Push-Down,InApp Extensibility,CDS,AMDP,RAP,Data Migration Cockpit,AIF,Flexible Workflow	;	H2
ABAP	;	ABAP HR	;	CORE ABAP,HR ABAP,	;	H1
ABAP	;	ABAP INTEGRATION	;	File Interfaces,ALE/ IDOC,ABAP Proxy	;	H1
ABAP	;	ABAP WEBDYNPRO	;	WebDynpro ABAP,Floor Plan Manager,	;	H1
BI	;	BI-HANA Advanced	;	SAP HANA Core Modelling,SQL Scripting,	;	H2
BI	;	BI-HANA CORE	;	SAP HANA Core Modelling	;	H2
BI	;	BW- Planning	;	SAP BW-ON-HANA,SAP BW IP,BPC Technical	;	H2
BI	;	BW/4HANA Core	;	SAP BW-ON-HANA,SAP BW/4HANA,Modelling,Extraction,ABAP for BW	;	H2
BI	;	BW-CORE	;	SAP BW-ON-HANA,Modelling,Extraction,WEBI Reporting,ABAP for BW	;	H1
BI	;	SAP-DW Advanced	;	SAP DataWarehouse Cloud	;	H3
BI	;	SAP-ETL Core	;	SAP Data Services,SAP-BODS,	;	H1
BI	;	SAP-Visualization Advanced	;	SAP BI,SAP SAC,Lumira	;	H2
BI	;	SAP-Visualization Core	;	SAP BI,WEBI,Lumira	;	H1
CX	;	CX C4C TECH	;	SAP Cloud Application Studio,ABSL,BODL,SAP UI Designer,APIs,OData,SAP CPI/PI	;	H3
CX	;	CX C4C-Sales	;	SAP C4C Sales Management	;	H3
CX	;	CX C4C-Service	;	SAP C4C Service Management	;	H3
CX	;	CX CPQ	;	SAP CPQ	;	H3
CX	;	CX CPQ Tech	;	SAP CPQ,Iron Python,Knockout.js,Script Workbench,SAP CPQ APIs,SAP CPQ UI Customizations,	;	H3
CX	;	CX CRM TECH	;	SAP CRM,OO ABAP,SAP WEB UI,BOL/GENIL,SAP BADI,SAP CRM FM,SAP CRM Middleware	;	H3
CX	;	CX CRM-Marketing	;	SAP CRM Marketing	;	H3
CX	;	CX CRM-Sales	;	SAP CRM Sales	;	H3
CX	;	CX CRM-Service	;	SAP CRM Service	;	H3
CX	;	CX Hybris Commerce	;	Hybris WCMS,Hybris PCM,Hybris ASM,SAP Customer Cockpit Backoffice,	;	H3
CX	;	CX Hybris TECH	;	Java,Spring,Hibernate,Eclipse,Hybris WCMS,Hybris PCM,DATAHUB/Hybris APIs,Hybris Accelerator,Hybris Backoffice,SAP CCv1/CCv2,	;	H3
Digital	;	DIGITAL BTP - CAP	;	SAP CAP,SAP CDS,	;	H2
Digital	;	DIGITAL BTP - CICD	;	SAP Piper	;	H3
Digital	;	DIGITAL BTP - Fiori	;	FIORI on BTP	;	H2
Digital	;	DIGITAL BTP - Workflow	;	BTP WF Services	;	H2
Digital	;	DIGITAL SAP FIORI	;	UI5,FIORI Elements,	;	H2
Digital	;	DIGITAL SAP Mobility	;	SMP,SAP Mobile Services,	;	H2
Digital	;	DIGITAL SAP PORTAL	;	SAP Enterprise Portal,WebDynpro Java,	;	H1
Digital	;	DIGITAL Web Development	;	HTML5,JavaScript,Node JS,MangoDB,Python	;	
DM-PM	;	SAP-Delivery management	;	SAP-Delivery management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H2
DM-PM	;	SAP-Program Management	;	SAP-Program Management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H1
DM-PM	;	SAP-Project Management	;	SAP-Project Management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H2
eProcurement	;	ePROCUREMENT ARIBA	;	SAP ARIBA Upstream,SAP ARIBA Downstream,ARIBA Supplier LifeCycle Performance,ARIBA Sourcing,ARIBA Contract,ARIBA Buying & Invoicing,ARIBA Guided Buying	;	H2
eProcurement	;	ePROCUREMENT ARIBA CIG	;	SAP ARIBA,ARIBA CIG,SAP Cloud Platform Integration,ABAP,	;	H3
eProcurement	;	ePROCUREMENT ARIBA SCC	;	ARIBA Supply Chain Collaboration,ARIBA Commerce Automation,SAP MM,EDI,	;	H2
eProcurement	;	ePROCUREMENT COUPA	;	Coupa,Coupa Procurement,Coupa Sourcing,Coupa SIM,Coupa Analytics	;	H2
eProcurement	;	ePROCUREMENT FIELDGLASS	;	FIELDGLASS,Contingent Workforce Management,Vendor Managed Service,Worker Profile,	;	H3
eProcurement	;	ePROCUREMENT iVALUA	;	iValua,iValua Source to Contract,iValua Procurement,iValua Analytics,	;	H3
eProcurement	;	ePROCUREMENT SRM	;	SAP SRM,Self Service Procurement,	;	H1
eProcurement	;	ePROCUREMENT SRM Tech	;	SAP SRM Tech,ABAP,Workflow	;	H1
Finance	;	FINANCE Banking	;	SAP Banking,Bank Account Management,Bank Analyzer	;	H2
Finance	;	FINANCE BPC	;	SAP BPC Planning & Consolidation,Embedded BPC,BPC Optimized for HANA,Integrated Planning,	;	H2
Finance	;	FINANCE BPC - Consolidation	;	SAP BPC Consolidation,Real Time Consolidation (RTC),BPC Consolidation	;	H2
Finance	;	FINANCE BPC - Planning	;	SAP BPC Planning,Embedded BPC,BPC Optimized for HANA,Integrated Planning,	;	H2
Finance	;	FINANCE FICO-Central Finance	;	SAP Central Finance,FICO,	;	H2
Finance	;	FINANCE FICO-COFI-ECC	;	COFI ECC,Cost Element Accounting,Cost Center Accounting,Profit Center Accounting,Internal Order Accounting,Product Costing,Profitability Analysis,Material Ledger,Transfer Pricing,Project System Integration,Investment Management	;	H1
Finance	;	FINANCE FICO-COFI-S/4HANA	;	COFI S/4HANA,FICO S/4HANA,	;	H2
Finance	;	FINANCE FICO-ECC	;	FICO ECC,Classic General Ledger,New General Ledger,Accounts Receivable,Accounts Payable,Asset Accounting,Bank Accounting,Automatic Payment,Banking Interfaces,Flexible Real Estate Management,Funds Management,Contract Accounting,Travel Management,Revenue Accounting & Reporting (RAR),Lease Accounting,Taxation (Country Specific),Vendor Invoice Management	;	H1
Finance	;	FINANCE FICO-Group Reporting	;	SAP Group Reporting	;	H2
Finance	;	FINANCE FICO-REFX	;	SAP RE-FX	;	H2
Finance	;	FINANCE FICO-S/4HANA	;	FICO S/4HANA,S/4HANA Migration,New Asset Accounting,Account Based Profitability Analysis,Material Ledger2	;	H2
Finance	;	FINANCE FSCM-BCM	;	SAP Bank Communication Management (BCM)	;	H2
Finance	;	FINANCE FSCM-Credit-Collection-Dispute	;	SAP FSCM,SAP Credit Management,SAP Collection & Dispute Management	;	H2
Finance	;	FINANCE FSCM-Treasury	;	SAP TRM,Cash Management,Liquidity Forecast,Transaction Manager : Money Market Securities,Forex & Hedging,Market Risk Analyzer,Credit Risk Analyzer,Exposure Management,Hedge Accounting,In House Cash,	;	H2
Finance	;	FINANCE Insurance	;	SAP Insurance	;	H2
Finance	;	FINANCE Insurance-FICA	;	SAP FICA	;	H2
Finance	;	FINANCE Insurance-FSCD	;	SAP FSCD	;	H2
Finance	;	FINANCE SAC	;	SAP SAC Planning,Planning,	;	H2
Finance	;	FINANCE VIM	;	VIM-Open text	;	H2
